label,timestamp,duration,pkg,dram,socket
BaseStation,1724440316.2163236,1529000.379,8029216.0,561278.0,0
BaseStation,1724440317.74547,880.389,14526.0,2441.0,0
BaseStation,1724440317.7465231,668.42,0.0,0.0,0
BaseStation,1724440317.747342,649.003,18127.0,1465.0,0
BaseStation,1724440317.7481377,715.865,16297.0,1282.0,0
BaseStation,1724440317.7490072,721.993,18737.0,1465.0,0
BaseStation,1724440317.7498727,794.124,17517.0,1343.0,0
BaseStation,1724440317.7508504,785.86,17090.0,1587.0,0
BaseStation,1724440317.751793,703.414,17761.0,1525.0,0
BaseStation,1724440317.75267,747.595,16846.0,1343.0,0
BaseStation,1724440317.7535996,636.507,0.0,0.0,0
BaseStation,1724440317.7544029,764.545,18188.0,1404.0,0
BaseStation,1724440317.7553084,744.019,17701.0,1465.0,0
BaseStation,1724440317.756205,1217.356,30944.0,2502.0,0
BaseStation,1724440317.757574,752.12,0.0,0.0,0
BaseStation,1724440317.758456,749.573,17700.0,0.0,0
BaseStation,1724440317.7593262,785.52,17273.0,1282.0,0
BaseStation,1724440317.7602818,760.884,17029.0,1343.0,0
BaseStation,1724440317.7612038,708.993,16724.0,1281.0,0
BaseStation,1724440317.762078,710.561,18127.0,1465.0,0
BaseStation,1724440317.7629588,698.099,17578.0,1404.0,0
BaseStation,1724440317.763823,740.215,18189.0,1404.0,0
BaseStation,1724440317.7647026,704.991,16967.0,1343.0,0
BaseStation,1724440317.7655528,700.214,0.0,0.0,0
BaseStation,1724440317.7664034,812.044,18067.0,1342.0,0
BaseStation,1724440317.7673345,800.429,17273.0,1404.0,0
BaseStation,1724440317.7683063,686.918,17334.0,1404.0,0
BaseStation,1724440317.7691252,723.374,17761.0,1404.0,0
BaseStation,1724440317.7700264,665.848,16784.0,1281.0,0
BaseStation,1724440317.7708554,702.712,17945.0,1404.0,0
BaseStation,1724440317.7717042,867.63,16662.0,1526.0,0
BaseStation,1724440317.7727296,755.272,18067.0,1465.0,0
BaseStation,1724440317.7736516,711.162,0.0,0.0,0
BaseStation,1724440317.7745008,698.46,0.0,0.0,0
BaseStation,1724440317.7753437,713.202,18554.0,1465.0,0
BaseStation,1724440317.7762358,724.279,16785.0,1403.0,0
BaseStation,1724440317.7771096,679.279,17883.0,1465.0,0
BaseStation,1724440317.7779744,636.485,18006.0,1465.0,0
BaseStation,1724440317.7787442,729.047,16540.0,1282.0,0
BaseStation,1724440317.7796314,801.06,17456.0,1404.0,0
BaseStation,1724440317.7805955,710.328,0.0,0.0,0
BaseStation,1724440317.7814505,768.152,18311.0,0.0,0
BaseStation,1724440317.7823822,751.929,17639.0,1404.0,0
BaseStation,1724440317.7832675,696.436,16723.0,1343.0,0
BaseStation,1724440317.7841249,835.117,17945.0,1648.0,0
BaseStation,1724440317.7851129,768.529,17883.0,1709.0,0
BaseStation,1724440317.7860582,723.031,19165.0,1587.0,0
BaseStation,1724440317.7869272,701.921,19470.0,1770.0,0
BaseStation,1724440317.787794,799.697,17883.0,1526.0,0
BaseStation,1724440317.7887719,724.408,17395.0,1953.0,0
BaseStation,1724440317.789644,669.326,0.0,1892.0,0
BaseStation,1724440317.790527,914.648,18799.0,2380.0,0
BaseStation,1724440317.79163,716.113,0.0,1465.0,0
BaseStation,1724440317.7924883,820.062,0.0,0.0,0
BaseStation,1724440317.793494,811.26,0.0,0.0,0
BaseStation,1724440317.7944882,814.346,0.0,0.0,0
BaseStation,1724440317.7954695,808.841,0.0,0.0,0
BaseStation,1724440317.7964299,839.433,15991.0,1404.0,0
BaseStation,1724440317.7974296,770.202,0.0,0.0,0
BaseStation,1724440317.7983353,771.145,16113.0,1404.0,0
BaseStation,1724440317.7992508,736.587,16785.0,1404.0,0
BaseStation,1724440317.8001387,802.437,15869.0,1404.0,0
BaseStation,1724440317.8010898,819.815,15503.0,1343.0,0
BaseStation,1724440317.8020725,762.301,15320.0,1403.0,0
BaseStation,1724440317.8030078,760.479,16235.0,1404.0,0
BaseStation,1724440317.8039234,790.564,17761.0,1404.0,0
BaseStation,1724440317.804874,751.68,15869.0,1282.0,0
BaseStation,1724440317.8057668,91912.433,200073.0,37719.0,0
BaseStation,1724440317.8982966,698698.01,1541683.0,253845.0,0
BaseStation,1724440318.597622,20450.47,56030.0,14221.0,0
BaseStation,1724440318.6186922,18856.096,50842.0,11536.0,0
BaseStation,1724440318.6380458,22051.433,63294.0,15808.0,0
BaseStation,1724440318.6604662,3116.563,10986.0,2685.0,0
BaseStation,1724440318.6640189,21122.194,58655.0,14221.0,0
BaseStation,1724440318.6857984,22479.024,69518.0,15381.0,0
BaseStation,1724440318.708653,23076.272,63660.0,12146.0,0
BaseStation,1724440318.732134,40124.195,106201.0,23560.0,0
BaseStation,1724440318.7727318,3110.785,12573.0,2929.0,0
BaseStation,1724440318.7762768,22721.261,54688.0,12817.0,0
BaseStation,1724440318.799384,3614.616,15686.0,4395.0,0
BaseStation,1724440318.8035982,32654.93,80505.0,17822.0,0
BaseStation,1724440318.836984,16357.628,49743.0,11108.0,0
BaseStation,1724440318.8537028,38496.223,99548.0,21607.0,0
BaseStation,1724440318.892581,23621.077,64148.0,13977.0,0
BaseStation,1724440318.91661,2862.433,10864.0,3235.0,0
BaseStation,1724440318.9201758,2639.978,6043.0,2686.0,0
BaseStation,1724440318.9234648,18058.437,45288.0,9826.0,0
BaseStation,1724440318.9420023,18484.26,51148.0,13611.0,0
BaseStation,1724440318.961045,35629.231,88501.0,18555.0,0
BaseStation,1724440318.9973176,46956.922,118957.0,25757.0,0
BaseStation,1724440319.044744,31444.282,84900.0,20630.0,0
BaseStation,1724440319.0767612,16487.061,42358.0,10681.0,0
BaseStation,1724440319.0937693,24648.087,64942.0,13122.0,0
BaseStation,1724440319.1188676,22600.29,59509.0,13123.0,0
BaseStation,1724440319.1419506,23389.098,58349.0,11536.0,0
BaseStation,1724440319.1659427,38501.928,92407.0,19165.0,0
BaseStation,1724440319.2050347,47312.827,127563.0,29541.0,0
BaseStation,1724440319.252852,39678.867,104553.0,23193.0,0
BaseStation,1724440319.293091,43066.317,117065.0,32349.0,0
BaseStation,1724440319.336731,43577.815,116943.0,27709.0,0
BaseStation,1724440319.3809683,46677.836,138794.0,30823.0,0
